,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
133,complete ruby rail developer course,learn make innovative web apps ruby rail unleash creativity rob percival,381,All Levels,445,4.5,9446
134,aws serverless apis apps complete introduction,get serverless computing api gateway aws lambda amazon web service zero server config apis spa academind maximilian schwarzmüller,142,All Levels,8,4.6,6810
135,git complete definitive stepbystep guide git,go zero hero git source control stepbystep easy understand example become next git expert jason taylor,84,All Levels,6,4.4,9495
136,node react fullstack web development,build deploy fullstack web apps nodejs react redux express mongodb stephen grider,207,All Levels,26,4.6,10320
137,python computer vision opencv deep learning,learn latest technique computer vision python opencv deep learning jose portilla,92,Intermediate,14,4.5,2583
138,python data structure algorithm interview,get kick start career ace coding interview jose portilla,228,Intermediate,17,4.4,6413
139,web development w google go golang programming language,learn web programming university professor computer science year teaching experience todd mcleod,171,Intermediate,19,4.7,4011
140,modern react bootcamp hook context nextjs router,published follow curriculum teach student sf project including one huge application colt steele,312,Beginner,39,4.7,2647
141,aws certified developer associate practice exam,aws certified developer cover aws certified developer topic pas aws certified developer associate exam jon bonso aws certified solution architect certified developer,5,294 questions,294,4.7,596
142,modern javascript bootcamp,learn javascript building realworld apps includes realworld project programming challenge es andrew mead,155,All Levels,295,4.7,7550
143,python time series data analysis,learn use python panda numpy statsmodels time series forecasting analysis jose portilla,93,Intermediate,15,4.6,1770
144,modern javascript novice ninja,create awesome javascript driven web apps modern javascript beginning right ninjalevel net ninja shaun pelling,173,All Levels,19,4.8,2555
145,devops masterclass docker kubernetes jenkins devops,devops specialization absolute beginner jenkins docker kubernetes code pipeline hand exercise levelup devops,266,All Levels,44,4.2,2207
146,python deep dive part oop,python object oriented programming oop fred baptiste,162,Intermediate,35,4.7,284
147,oracle java certification pas java se z exam,obtain exact knowledge skill get java certified exam topic fully covered course tim buchalka,128,Intermediate,125,4.6,146
148,nodejs api masterclass express mongodb,create real world backend bootcamp directory app brad traversy,76,Intermediate,12,4.8,1054
149,design pattern c net,discover modern implementation design pattern c net dmitri nesteruk,149,Intermediate,16,4.4,4767
150,complete guide building app net core react,complete guide building app start finish using aspnet core react typescript mobx neil cummings,318,All Levels,355,4.6,886
151,aws lambda serverless architecture bootcamp build apps,amazon web service serverless lambda api gateway dynamodb step function sam serverless framework cicd rizmax academy riyaz sayyad,301,All Levels,255,4.5,1298
152,python deep dive part iteration generator,sequence iterables iterators generator context manager generatorbased coroutines fred baptiste,137,Intermediate,345,4.9,477
153,statistic business analytics data science az,learn core stats data science career master statistical significance confidence interval much kirill eremenko,48,All Levels,7,4.4,5326
154,artificial intelligence reinforcement learning python,complete guide artificial intelligence prep deep reinforcement learning stock trading application lazy programmer inc,99,Intermediate,10,4.5,5988
155,interactive python dashboard plotly dash,learn create interactive plot intelligent dashboard plotly python dash library jose portilla,69,Intermediate,95,4.6,2996
156,complete java certification course,become confident industry ready core java developer get certified java professional imtiaz ahmad,57,All Levels,175,4.5,5168
157,java indepth become complete java engineer,comprehensive java programming course integrated design principle best practice instructorled java ee project dheeru mundluru,349,All Levels,635,4.3,7448
158,python absolute beginner,python learn python programming scratch handson exercise beginner friendly python tutorial green chameleon learning,67,Beginner,3,4.4,13966
159,data structure algorithm deep dive using java,learn array linked list tree hashtables stack queue heap sort algorithm search algorithm tim buchalka,116,Intermediate,16,4.4,4755
160,android java masterclass become app developer,improve career option learning android app development master android studio build first app today tim buchalka,320,All Levels,605,4.4,7231
161,selenium python automation testing scratch framework,best seller single course learn python programming selenium python automation basic advanced level rahul shetty,128,All Levels,185,4.5,1103
162,complete uipath rpa developer course build robot,master robotic process automation rpa uipath go beginner advanced leon petrou,127,All Levels,10,4.5,1909
163,graphql react complete developer guide,learn master graphql building real web apps react node stephen grider,115,Intermediate,135,4.6,6117
164,complete angular course beginner advanced,comprehensive angular angular course build real ecommerce app angular firebase bootstrap mosh hamedani,376,All Levels,295,4.5,18726
165,taming big data apache spark python hand,dive right handson example analyzing large data set apache spark desktop hadoop sundog education frank kane,51,All Levels,55,4.4,7403
166,part foundation enterprise architect certification trng,software architecture certification togaf part exam become togaf foundation scott duffy student,170,All Levels,105,4.4,9278
167,unreal engine c ultimate game developer course,learn develop code package complete video game unreal engine stephen ulibarri,100,All Levels,335,4.6,774
168,modern angular bootcamp,get job ready angular v understand build test deploy productionready apps stephen grider,497,All Levels,45,4.8,176
169,modern graphql bootcamp nodejs apollo,learn build graphql application using nodejs includes prisma authentication apollo client andrew mead,118,Beginner,235,4.7,2474
170,python deep dive part hash map,dictionary set related data structure fred baptiste,79,Intermediate,205,4.8,189
171,unreal engine develop first two game,epic gamesapproved learn unreal editor master gameplay framework use blueprint program without coding christopher murphy,85,Beginner,155,4.5,8247
172,comprehensive android development masterclass,learn new android apis like room database ml kit face recognition firestore firebase map android studio ide paulo dichone android java flutter developer teacher,325,All Levels,43,4.5,880
173,node j advanced concept,get advanced nodejs learn caching redis speed clustering add image upload node stephen grider,166,Intermediate,16,4.7,4040
174,istio handson kubernetes,learn istio service mesh turbo charge kubernetes career hand real world practicals richard chesterwood,47,All Levels,11,4.7,375
175,coding beginner learn code,perfect course complete beginner friendly experience required go scratch coding real app applause interactive,33,Beginner,8,4.5,1729
176,php laravel beginner become master laravel,learn master laravel make advanced application like real cm app build course edwin diaz,336,All Levels,32,4.4,7165
177,python flask bootcamp create website using flask,create awesome website using powerful flask framework python jose portilla,126,All Levels,20,4.6,2938
178,github ultimate master git github beginner expert,go complete novice expert git github using stepbystep noassumptions learning jason taylor,151,All Levels,65,4.4,4143
179,deep learning advanced computer vision gans ssd,vgg resnet inception ssd neural style transfer gans using cnns tensorflow kera python lazy programmer inc,88,Intermediate,95,4.6,2087
180,deep learning computer vision az opencv ssd gans,become wizard latest computer vision tool exist detect anything create powerful apps hadelin de ponteves,83,All Levels,11,4.4,4024
181,ethereum solidity complete developer guide,use ethereum solidity smart contract build productionready apps based blockchain stephen grider,250,All Levels,24,4.5,9504
182,learn create rpg game unity,game development made easy learn c using unity create classic rpg james doyle,117,All Levels,18,4.6,2123
