,_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
193,5e41146b70dfe123d09ba478,visibl advanc hand drop,"4.4
(1,935 ratings)",learn practic advanc topic visibl includ role jinja2 look filter learn develop custom nodul mumshad mannambeth,29 lectures,Intermediate,4 hours
194,5e41146b70dfe123d09ba479,full stick cava develop cava esp rest spring,"4.3
(1,086 ratings)",full stick cava develop core cava esp servant liber spring cava webservicerest apt spring boot studyeasi organis,603 lectures,All Levels,64.5 hours
195,5e41146b70dfe123d09ba47a,learn creat roguelik game uniti 2019,"4.6
(283 ratings)",game develop made easi learn c use uniti creat classic rug jame doyl,124 lectures,All Levels,19.5 hours
196,5e41146b70dfe123d09ba47b,learn best power nap algorithm goos,"4.2
(57 ratings)",understand appli gorg gamechang nap algorithm realworld task build 2 nap applic martin jocqueviel,33 lectures,All Levels,5.5 hours
197,5e41146b70dfe123d09ba47c,gap complet goos data engin cloud architect guid,"4.3
(4,250 ratings)",goos cloud tensorflow big data manag hadoop long corn,226 lectures,All Levels,28 hours
198,5e41146b70dfe123d09ba47d,react nativ advanc concept,"4.3
(4,123 ratings)",master advanc topic react nativ anim map modif navig stephen rider,151 lectures,Intermediate,16.5 hours
199,5e41146b70dfe123d09ba47e,nut view steroid,"4.7
(3,384 ratings)",build highli engag vue ape nut next add easi serversiderend folderbas confirm approach academ maximilian schwarzmüller,106 lectures,Intermediate,6.5 hours
200,5e41146b70dfe123d09ba47f,gitlab pipelin drop beginn,"4.6
(1,065 ratings)",learn gitlab doctor drop obtain valuabl drop skill build pipelin valentin deep,45 lectures,Intermediate,3.5 hours
201,5e41146b70dfe123d09ba480,node complet guid build rest axi 2018,"4.6
(7,207 ratings)",learn build fast capabl secur rest servic node express mongodb set product hamedani,224 lectures,Intermediate,15 hours
202,5e41146b70dfe123d09ba481,learn advanc c program,"4.4
(4,969 ratings)",discov intermedi advanc c includ c fantast addit c standard john pure,105 lectures,Intermediate,15 hours
203,5e41146b70dfe123d09ba482,git web develop job master modern workflow,"4.8
(5,333 ratings)",learn git github node nom objectori javascript est webpack nullifi job interview tip bad chief,68 lectures,Beginner,15 hours
204,5e41146b70dfe123d09ba483,cloudform master class,"4.6
(4,081 ratings)",write complet cloudform templ use learn recent cloud format featur stephen mark terrifi solut architect develop,70 lectures,All Levels,3.5 hours
205,5e41146b70dfe123d09ba484,labia serverless framework hand learn,"4.5
(2,816 ratings)",develop deploy labia function serverless learn labia real world integr amazon web servic stephen mark terrifi solut architect develop,38 lectures,Beginner,2.5 hours
206,5e41146b70dfe123d09ba485,porch deep learn patron bootcamp,"4.6
(596 ratings)",learn creat state art neutral network deep learn facebook porch deep learn librari jose gorilla,97 lectures,All Levels,17 hours
207,5e41146b70dfe123d09ba486,build back rest apt patron django advanc,"4.5
(1,559 ratings)",creat advanc rest apt patron django rest framework doctor use test driven develop add mark winterbottom,76 lectures,Intermediate,8 hours
208,5e41147770dfe123d09ba487,patron network program network engin patron 3,"4.6
(1,471 ratings)",program network use patron version 3 learn network programm practic gun disco cours david bombay,170 lectures,Beginner,11.5 hours
209,5e41147770dfe123d09ba488,learn peter scratch live ape perform test,"4.4
(3,657 ratings)",top class peter lectur explain load test real time exampl includ materi queri support paul hetti,81 lectures,All Levels,12.5 hours
210,5e41147770dfe123d09ba489,part 2 terrifi enterpris architect mortif train,"4.4
(1,912 ratings)",softwar architectur mortif today 9 part 2 exam becom today terrifi scott puffi 200000 student,31 lectures,All Levels,2.5 hours
211,5e41147770dfe123d09ba48a,advanc ai deep reinforc learn patron,"4.6
(2,739 ratings)",complet guid master artifici intellig use deep learn neutral network lazi programm,73 lectures,Expert,9 hours
212,5e41147770dfe123d09ba48b,complet patron web cours build 8 patron web ape,"4.4
(3,515 ratings)",build patron web applic beginn expert use patron flask jose salvatierra,161 lectures,All Levels,15.5 hours
